Video_Number,Date_Recorded,Hours_CI_Students,Hours_Reading,Hours_Talking,Hours_Native_Media,Time_Recorded,Length_Minutes,Total_Words,Filler_Words,Unique_Words,Avg_Word_Freq,Med_Word_Freq,Entropy,TTR
1,2024-10-28,2.5,0.5,0.5,2.0,11:33,13.25,1077,118,296,3.6385135135135136,1.0,7.017285734407039,0.2748375116063138
2,2024-10-29,1.5,0.0,1.0,3.5,10:54,9.18,790,76,273,2.8937728937728937,1.0,6.966306815422823,0.3455696202531645
3,2024-10-30,3.0,1.0,1.0,2.0,21:50,7.03,527,48,209,2.521531100478469,1.0,6.710371969180639,0.396584440227704
4,2024-10-31,2.5,1.25,0.0,2.5,23:36,11.92,933,111,306,3.049019607843137,1.0,6.95469020487176,0.3279742765273312
5,2024-11-01,1.5,1.0,0.0,1.5,23:27,8.27,615,56,214,2.8738317757009346,1.0,6.628695979213635,0.3479674796747967
6,2024-11-02,2.5,1.0,0.0,3.0,23:01,7.32,489,58,202,2.4207920792079207,1.0,6.761164397349043,0.4130879345603272
7,2024-11-03,3.0,2.0,0.0,2.0,00:20,6.23,485,28,195,2.4871794871794872,1.0,6.806412760292836,0.4020618556701031
8,2024-11-04,3.75,1.0,0.25,1.0,23:00,8.9,653,40,258,2.531007751937985,1.0,7.053269029973603,0.3950995405819295
9,2024-11-05,3.0,2.25,0.75,2.0,23:36,6.23,501,45,188,2.6648936170212765,1.0,6.653787704597564,0.3752495009980039
10,2024-11-06,3.25,0.0,0.5,3.25,21:20,6.93,593,23,192,3.0885416666666665,1.0,6.692833345632594,0.3237774030354131
11,2024-11-07,3.25,0.25,0.0,3.0,23:07,7.13,528,42,211,2.5023696682464456,1.0,6.885708011264474,0.3996212121212121
12,2024-11-08,2.5,0.0,0.75,2.0,22:20,12.92,956,70,297,3.218855218855219,1.0,7.110356385627119,0.3106694560669456
13,2024-11-09,1.25,0.0,3.0,2.0,23:14,8.5,665,63,220,3.022727272727273,1.0,6.7965231006105045,0.3308270676691729
14,2024-11-10,2.0,0.0,0.0,2.5,23:12,7.62,544,36,195,2.7897435897435896,1.0,6.734193205407042,0.3584558823529412
15,2024-11-11,1.0,0.75,0.25,3.0,22:20,10.68,784,74,259,3.027027027027027,1.0,6.827097550243543,0.3303571428571428
16,2024-11-12,2.5,2.0,0.25,2.25,22:51,12.53,932,62,274,3.4014598540145986,1.0,6.92122997245038,0.2939914163090129
17,2024-11-13,2.5,2.25,0.0,2.25,20:31,6.4,459,45,192,2.390625,1.0,6.676362894333196,0.4183006535947712
18,2024-11-14,2.0,1.5,0.5,2.25,10:56,11.33,936,75,287,3.2613240418118465,1.0,6.9801026280664615,0.3066239316239316
19,2024-11-15,1.25,0.75,0.75,3.25,01:19,9.23,745,52,237,3.1434599156118144,1.0,6.835247756490953,0.3181208053691275
20,2024-11-16,1.5,0.0,1.0,3.5,19:34,9.45,714,43,235,3.0382978723404257,1.0,6.883913108629178,0.3291316526610644
21,2024-11-17,0.75,1.5,0.0,3.25,23:18,8.22,633,59,227,2.788546255506608,1.0,6.866144838147653,0.358609794628752
22,2024-11-18,2.0,2.5,0.5,1.5,21:46,12.73,1038,97,344,3.0174418604651163,1.0,7.164322502108278,0.3314065510597302
23,2024-11-19,1.0,2.0,0.25,4.0,19:50,8.8,756,53,253,2.988142292490118,1.0,6.962913651597447,0.3346560846560846
24,2024-11-20,2.25,0.75,0.5,2.5,21:38,7.9,638,73,225,2.835555555555556,1.0,6.72415802699992,0.3526645768025078
