Video_Number,Date_Recorded,Hours_CI_Students,Hours_Reading,Hours_Talking,Hours_Native_Media,Time_Recorded,Length_Minutes
1,10/28/24,2.5,0.5,0.5,2,11:33 AM,13.25
2,10/29/24,1.5,0,1,3.5,10:54 AM,9.18
3,10/30/24,3,1,1,2,9:50 PM,7.03
4,10/31/24,2.5,1.25,0,2.5,11:36 PM,11.92
5,11/1/24,1.5,1,0,1.5,11:27 PM,8.27
6,11/2/24,2.5,1,0,3,11:01 PM,7.32
7,11/3/24,3,2,0,2,12:20 AM,6.23
8,11/4/24,3.75,1,0.25,1,11:00 PM,8.90
9,11/5/24,3,2.25,0.75,2,11:36 PM,6.23
10,11/6/24,3.25,0,0.5,3.25,9:20 PM,6.93
11,11/7/24,3.25,0.25,0,3,11:07 PM,7.13
12,11/8/24,2.5,0,0.75,2,10:20 PM,12.92
13,11/9/24,1.25,0,3,2,11:14 PM,8.50
14,11/10/24,2,0,0,2.5,11:12 PM,7.62
15,11/11/24,1,0.75,0.25,3,10:20 PM,10.68
16,11/12/24,2.5,2,0.25,2.25,10:51 PM,12.53
17,11/13/24,2.5,2.25,0,2.25,8:31 PM,6.40
18,11/14/24,2,1.5,0.5,2.25,10:56 AM,11.33
19,11/15/24,1.25,0.75,0.75,3.25,1:19 AM,9.23
20,11/16/24,1.5,0,1,3.5,7:34 PM,9.45
21,11/17/24,0.75,1.5,0,3.25,11:18 PM,8.22
22,11/18/24,2,2.5,0.5,1.5,9:46 PM,12.73
23,11/19/24,1,2,0.25,4,7:50 PM,8.80
24,11/20/24,2.25,0.75,0.5,2.5,9:38 PM,7.90
25,11/21/24,2,3.25,0.25,2,9:16 PM,13.17
26,11/22/24,2.25,2,0,2.25,10:01 PM,11.92
27,11/23/24,2.25,1.75,1.25,3,10:08 PM,14.95
28,11/24/24,2,1.75,0.25,2.5,8:17 PM,14.63
29,11/25/24,2,0.75,0,3.5,8:54 PM,12.77
30,11/26/24,2.25,2,0,2.25,9:51 PM,7.67
31,11/27/24,2.25,0,0.5,0.75,10:50 PM,6.58
32,11/28/24,2,0,0.25,2.25,10:43 PM,14.57
33,11/29/24,1.5,0.25,0.25,1.5,11:15 PM,6.12
34,11/30/24,2.75,0,0,2.25,8:46 PM,5.17
35,12/1/24,1,0,1.5,2.75,11:23 PM,5.92
36,12/2/24,2.25,0.25,0,2.5,8:44 PM,16.02
37,12/3/24,2.5,0.5,0.75,2,1:53 PM,7.18
38,12/4/24,2,0.25,0.25,1.5,12:05 PM,7.45
39,12/5/24,2,0.5,0.75,2.25,12:07 PM,5.90
40,12/6/24,2.5,0.25,1.5,1.25,1:16 PM,14.75
41,12/7/24,0.25,0.25,0.5,1.5,10:41 PM,12.27
42,12/8/24,1,0.25,0,3,9:44 PM,10.30
43,12/9/24,1,0.5,0,3.25,7:45 PM,7.15
44,12/10/24,1.5,0.25,0,3.25,11:05 PM,8.53
45,12/11/24,1,0.75,0,5,10:34 AM,9.57
46,12/12/24,1.5,0,0.5,3.25,12:14 PM,5.97
47,12/13/24,0,0.25,0,4.25,8:47 PM,5.93
48,12/14/24,0,0,0,4.5,11:26 PM,7.18
49,12/15/24,0,0,0,5,10:44 PM,6.95
50,12/16/24,0,0,0,5.5,7:58 PM,10.85
51,12/17/24,0.5,0.75,0,4,1:41 PM,5.12
52,12/18/24,0,0.5,0,5.75,8:13 PM,9.57
53,12/19/24,0,0,0,4.5,3:59 PM,8.35
54,12/20/24,0,0,0,6.25,9:34 PM,8.48
55,12/21/24,0,0,0,4.25,11:00 PM,7.82
56,12/22/24,0,0,0,5,10:36 PM,7.02
57,12/23/24,0,0,0,4,11:32 PM,8.87
58,12/24/24,0,0,3,4.5,7:47 PM,6.55
59,12/28/24,0,0.5,0.25,10.25,9:28 PM,7.35
60,12/29/24,0,0,0.25,3,10:19 PM,8.38
61,12/30/24,0,0,0.5,0,12:50 AM,9.10
62,12/31/24,0,0,0.5,1,10:14 PM,8.07
63,1/1/25,0,0,1.5,1.5,11:46 PM,8.42
64,1/2/25,0,0,0.25,0.25,10:50 PM,9.80
65,1/3/25,0,0,0.25,0.25,10:14 PM,5.13
66,1/4/25,0,0.5,0,0.75,11:12 PM,8.25
67,1/5/25,0,0,0,2,11:03 PM,9.32
68,1/6/25,0,0.25,0,1.25,9:35 PM,7.42
69,1/7/25,0,0.5,0,1.75,10:48 PM,10.05
70,1/8/25,0,1.5,0,1.25,9:50 PM,8.42
71,1/9/25,0.75,1,0.25,2.5,11:13 PM,16.05
72,1/10/25,0,0.75,0,4.75,11:08 PM,10.03
73,1/11/25,0,0.75,0,3.5,11:15 PM,10.32
74,1/12/25,0,0,0,4.75,10:36 PM,8.72
75,1/13/25,0,0.75,0,4.5,12:50 PM,13.00
76,1/14/25,0,1,0,4,12:13 PM,11.37
77,1/15/25,0,0,0,5,9:46 AM,8.67
78,1/16/25,0,1,0,3,11:05 AM,11.35
79,1/17/25,0,0,0,5,3:42 PM,11.38
80,1/18/25,0,0,1.5,5,4:48 PM,7.38
81,1/19/25,0,0,0.25,2.25,12:12 AM,9.93
82,1/20/25,0,0,0,3,12:01 PM,8.20
83,1/21/25,0,0,0,4.5,11:26 PM,11.38
84,1/22/25,0,1,0,3,12:48 PM,9.95
85,1/23/25,0,1.25,0.75,2.5,9:35 AM,8.63
86,1/24/25,0,2,0,2.5,11:30 PM,7.42
87,1/25/25,0,0,1,2,11:34 PM,13.83
88,1/26/25,0,0,2,4,12:02 AM,10.25
89,1/27/25,0,1,0,3.75,12:16 PM,8.48
90,1/28/25,0,1,0,3.5,1:54 PM,10.28
91,1/29/25,0,0.5,0,3.75,7:40 PM,8.73
92,1/30/25,0,0,1.5,3.25,11:16 PM,13.98
93,1/31/25,0,0,0.5,2.75,11:17 PM,7.82
94,2/1/25,0,0.5,0.5,0.5,11:09 PM,7.93
95,2/2/25,0,0.25,0.25,2.25,11:09 PM,7.08
96,2/3/25,0,0,0,3,12:23 AM,9.37
97,2/4/25,0,0,0,4,7:03 PM,7.92
98,2/5/25,0,0,0,4.25,5:10 PM,7.77
99,2/6/25,0,0,2.5,3.25,11:16 PM,6.93
100,2/7/25,0,0,0.75,3.75,11:16 PM,7.13
101,2/8/25,0,0,0.75,4.75,11:53 PM,14.97
102,2/9/25,0,0,0,3.75,12:16 AM,11.77
103,2/10/25,0,0,0,3,9:16 PM,15.63
104,2/11/25,0,0,0,4,11:47 PM,16.05
105,2/12/25,0,0,0,5.25,12:01 AM,11.62
106,2/13/25,0,0,1,3.75,12:23 AM,11.45
107,2/14/25,0,0,0,3.5,10:50 PM,11.55
108,2/15/25,0,0,0.5,3.75,11:48 PM,14.80
109,2/16/25,0,0,0.25,2.75,10:47 PM,8.92
110,2/17/25,0,0,0.25,4,9:32 PM,8.95
111,2/18/25,0,0,1,4.5,10:36 PM,12.53
112,2/19/25,0,0,1.25,2,3:33 PM,14.80
